accession	species	taxid	source	notes
# ── CAMISIM simulation genomes ───────────────────────────────────────────────
GCF_006094375.1	Staphylococcus epidermidis	1282	camisim_simulation
GCF_000013425.1	Staphylococcus aureus	1280	camisim_simulation
GCF_900478045.1	Corynebacterium tuberculostearicum	38301	camisim_simulation
GCF_029542785.1	Malassezia globosa	55193	camisim_simulation
GCF_000181695.2	Malassezia restricta	76773	camisim_simulation
GCF_900475555.1	Micrococcus luteus	1270	camisim_simulation
GCF_006094395.1	Staphylococcus haemolyticus	1283	camisim_simulation
GCF_001941425.1	Corynebacterium glutamicum	1697	camisim_simulation
GCF_000092445.1	Cutibacterium acnes	1743460	camisim_simulation	CAMISIM used wrong label (Allopiophila luteata); taxid corrected to C. acnes
# ── Additional NCBI RefSeq strains (v1 — improve S. epidermidis recall) ───────
GCF_006742205.1	Staphylococcus epidermidis	1282	ncbi_additional
GCF_019329745.1	Staphylococcus epidermidis	1282	ncbi_additional
GCF_019329665.1	Staphylococcus epidermidis	1282	ncbi_additional
# ── v5 expansion — 65 additional species (expand_skin_db.py, 2026-04-16) ──────
# Covers full HMP skin microbiome: Staphylococcus, Corynebacterium, Cutibacterium,
# Malassezia, Micrococcus, Acinetobacter, Moraxella, Peptoniphilus, Anaerococcus,
# Porphyromonas, Rothia, Streptococcus, Enterococcus, Candida, and more.
# 28 taxa were not in RefSeq (noted at bottom).
GCF_016028275.1	Staphylococcus carnosus	1281	ncbi_expand
GCF_000816085.1	Staphylococcus hominis	1284	ncbi_expand
GCF_019048645.1	Staphylococcus caprae	1289	ncbi_expand
GCF_029774255.1	Staphylococcus sciuri	1293	ncbi_expand
GCF_009428905.1	Staphylococcus capitis	29376	ncbi_expand
GCF_016127455.1	Staphylococcus equorum	246432	ncbi_expand
GCF_000011325.1	Corynebacterium pseudodiphtheriticum	1716	ncbi_expand
GCF_000011325.1	Corynebacterium bovis	1718	ncbi_expand
GCF_900103625.1	Corynebacterium urealyticum	38302	ncbi_expand
GCF_000013405.1	Corynebacterium confusum	43773	ncbi_expand
GCF_014199635.1	Corynebacterium resistens	260085	ncbi_expand
GCF_000178095.1	Cutibacterium avidum	1261	ncbi_expand
GCF_017161265.1	Malassezia sympodialis	58231	ncbi_expand
GCF_000336595.1	Malassezia nana	1231382	ncbi_expand
GCF_000336515.1	Malassezia slooffiae	1231383	ncbi_expand
GCF_030523875.1	Micrococcus antarcticus	1271	ncbi_expand
GCF_900163825.1	Micrococcus flavescens	1273	ncbi_expand
GCF_900444805.1	Acinetobacter lwoffii	471	ncbi_expand
GCF_965261865.1	Acinetobacter calcoaceticus	472	ncbi_expand
GCF_041021905.1	Acinetobacter nosocomialis	106654	ncbi_expand
GCF_004768625.1	Acinetobacter johnsonii	28150	ncbi_expand
GCF_016576965.1	Acinetobacter bereziniae	106648	ncbi_expand
GCF_014199985.1	Acinetobacter junii	29427	ncbi_expand
GCF_900476075.1	Moraxella catarrhalis	480	ncbi_expand
GCF_015476275.1	Moraxella osloensis	296	ncbi_expand
GCF_009586235.1	Moraxella nonliquefaciens	292	ncbi_expand
GCF_900445995.1	Moraxella lacunata	293	ncbi_expand
GCF_900099775.1	Roseomonas gilardii	158890	ncbi_expand
GCF_046255015.1	Finegoldia magna	150022	ncbi_expand
